t,x,y,speed,lat_err,line0_err,line1_err,steer_angle
1.809999942779541,6.00059700012207,6.0000529289245605,0.00727703337167363,-0.0015463829040527344,-2.0,8.5,0
1.8200000524520874,6.000426769256592,6.000068187713623,0.019270149597533266,0.019546031951904297,-1.5,8.5,-30
1.8300000429153442,6.000049591064453,6.000095844268799,0.03799985491278934,0.019428730010986328,-1.5,9.0,-7.368323949774689
1.840000033378601,5.999452114105225,6.000156879425049,0.060238949642012166,0.01941061019897461,-1.5,9.5,-9.342908513644613
1.850000023841858,5.998639106750488,6.0002899169921875,0.08249008603952725,0.019129276275634766,-1.5,9.5,-3.9379543049966497
1.8600000143051147,5.997608661651611,6.000455856323242,0.10455963349295054,0.01887369155883789,-1.5,9.5,-4.325146568585195
1.8600000143051147,5.996371746063232,6.000659942626953,0.12536396962210203,0.01887369155883789,-1.0,10.5,-30.0
1.8799999952316284,5.994920253753662,6.0009236335754395,0.1476671652519311,0.017746448516845703,-1.0,10.5,2.3992169117366515
1.8899999856948853,5.993258953094482,6.001276969909668,0.16986674652859354,0.01688861846923828,-0.5,11.0,7.499964237213135
1.899999976158142,5.991383075714111,6.001648902893066,0.19124484056880064,0.015931129455566406,-0.5,11.5,11.184233808325324
1.909999966621399,5.98925256729126,6.0019965171813965,0.21587190805348824,0.014879703521728516,,12.0,13.588686970270857
1.909999966621399,5.986892223358154,6.002304553985596,0.23820134915542554,0.014879703521728516,0.5,12.5,7.499964237213135
1.9299999475479126,5.984295845031738,6.002600193023682,0.2613237017676407,0.013051986694335938,0.5,13.0,11.751192357240395
1.9299999475479126,5.98146915435791,6.002826690673828,0.283634188853185,0.013051986694335938,0.5,13.5,7.499964237213135
1.9500000476837158,5.978423595428467,6.002976417541504,0.3049593512569656,0.011899471282958984,1.0,13.5,5.575360768550727
1.9600000381469727,5.975146770477295,6.003061771392822,0.32780348290547373,0.011495113372802734,1.0,14.0,2.3396092292460597
1.9700000286102295,5.971648693084717,6.00311279296875,0.34988567892796596,0.011333465576171875,1.0,14.0,-2.4337737722787702
1.9800000190734863,5.967926502227783,6.003143310546875,0.3722846133345798,0.011178970336914062,1.0,14.0,-2.4995774365351373
1.9800000190734863,5.963990211486816,6.003091812133789,0.39372430130613184,0.011178970336914062,1.0,14.5,7.499964237213135
2.0,5.959835052490234,6.002995491027832,0.4156284590627912,0.011355876922607422,0.5,14.5,-7.447006005351586
2.0,5.955456256866455,6.002898693084717,0.43800694529799444,0.011355876922607422,0.5,14.5,7.499964237213135
2.0199999809265137,5.950863361358643,6.002743244171143,0.45957368651439373,0.01195526123046875,0.5,14.5,-11.971479410027309
2.0299999713897705,5.946053981781006,6.002560138702393,0.48142593920088544,0.012289047241210938,0.5,14.5,-12.820250201918203
2.0399999618530273,5.9410271644592285,6.002354145050049,0.5031116145985479,0.012769699096679688,,14.5,-15.99789582543018
2.049999952316284,5.9357757568359375,6.0021209716796875,0.5256605406090684,0.0133056640625,,14.5,-17.372141570386447
2.059999942779541,5.930309772491455,6.001838684082031,0.5473728454787089,0.014008045196533203,,14.0,-21.051658675800397
2.069999933242798,5.924628734588623,6.001554489135742,0.568843896729438,0.014571189880371094,-0.5,13.5,-18.54849935808603
2.0799999237060547,5.918725967407227,6.001245021820068,0.5910990507112116,0.015348434448242188,-0.5,14.0,-23.219123406320747
2.0899999141693115,5.91261100769043,6.0008931159973145,0.6125689395262359,0.016092300415039062,-1.0,14.0,-22.923483731587908
2.0999999046325684,5.906280040740967,6.000514507293701,0.6342277908574785,0.017049789428710938,-1.5,13.5,-27.674693250463996
2.109999895095825,5.8997321128845215,6.000118255615234,0.6559908258458205,0.018056869506835938,-1.5,13.5,-29.170055524464388
2.119999885559082,5.892964839935303,5.999670028686523,0.6782154169479973,0.019018173217773438,-2.0,13.5,-28.735179163067393
2.130000114440918,5.885982036590576,5.999189376831055,0.6999841685305821,0.020115375518798828,-2.0,14.0,-30
2.140000104904175,5.878787517547607,5.998682498931885,0.7212575686585962,0.02130270004272461,-2.5,14.5,-30
2.1500000953674316,5.87136173248291,5.998266696929932,0.7437464757669847,0.022452354431152344,-2.5,14.5,-30
2.1600000858306885,5.8637189865112305,5.9980788230896,0.7645124873695959,0.02312469482421875,-2.5,14.5,-25.009168097325023
2.1700000762939453,5.855862140655518,5.998140811920166,0.785711090858881,0.022916316986083984,-2.5,15.5,-7.290597755851042
2.180000066757202,5.847799777984619,5.998485565185547,0.8069791066102383,0.021872520446777344,-1.5,16.5,7.499964237213135
2.190000057220459,5.839547634124756,5.9991135597229,0.8276014311925775,0.02021932601928711,-1.0,17.5,22.954257072372513
2.200000047683716,5.831075191497803,5.999886512756348,0.8507639537333141,0.017755508422851562,,18.5,40.39864471092121
2.2100000381469727,5.822366714477539,6.000464916229248,0.8727932004856485,0.015430450439453125,,19.5,38.78597879524614
2.2200000286102295,5.813443660736084,6.000811576843262,0.8929875492700893,0.013924121856689453,0.5,20.5,23.16453945789374
2.2300000190734863,5.804294586181641,6.000942230224609,0.9150009822472887,0.013046741485595703,0.5,20.5,11.02425341379562
2.240000009536743,5.794927597045898,6.000898361206055,0.9367167069775016,0.01267242431640625,0.5,21.5,1.1501383651261552
2.25,5.785342216491699,6.00067138671875,0.9588078341249201,0.012802600860595703,0.5,22.0,-9.004833797009818
2.259999990463257,5.775545597076416,6.0003743171691895,0.9801466274740754,0.0133056640625,,22.5,-16.714105664514193
2.2699999809265137,5.765535831451416,5.999988555908203,1.0017208050801478,0.013921737670898438,,23.5,-19.28235275410072
